R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.680184081,3.836364485,3.975967345,4.06180021,4.463805883,4.454104601,10,58.58,0.45,64.3939
3.681506891,3.840049031,3.99401157,4.076275686,4.504691983,4.494303145,10,58.59,0.56,74.0714
3.694517754,3.860681463,4.054257946,4.136903239,4.537141063,4.51588486,10,58.95,0.5,68.9047
3.702598972,3.801568132,4.008583706,4.08364082,4.556652915,4.523691405,10,57.56,0.42,61.8528
3.712884628,3.824838171,4.028874739,4.099378362,4.526409907,4.491980353,10,57.62,0.56,74.4422
3.721839466,3.839777158,4.028079389,4.107166429,4.549305788,4.518583232,10,58.04,0.46,65.6208
3.725001142,3.838551678,3.996406871,4.069762013,4.522467209,4.489903245,10,57.88,0.44,63.7384
3.72619443,3.85631865,4.043958931,4.124372194,4.547885658,4.524057357,10,59.26,0.42,60.9821
3.747234083,3.864358964,4.041934444,4.118889016,4.559106729,4.53221944,10,57.56,0.41,60.7946
3.772785264,3.868196619,4.04765952,4.123663586,4.556119197,4.524168701,10,59.52,0.52,70.412
3.647294747,3.804306283,4.000444331,4.079188951,4.545504267,4.507572122,11,57.93,0.52,71.0668
3.669577629,3.816311193,3.993331244,4.069727122,4.533358963,4.506298131,11,58,0.52,71.0379
3.673631349,3.847726314,3.999729287,4.078573629,4.501125109,4.47570123,11,58.19,0.47,66.5004
3.678010788,3.848859635,4.012510079,4.096039603,4.524534404,4.502001943,11,58.29,0.57,74.9658
3.681866931,3.856384064,4.021833477,4.103241354,4.543184744,4.524978969,11,59.24,0.5,68.7804
3.682106807,3.862169128,4.019147215,4.099573959,4.534380978,4.508644695,11,58.36,0.5,69.1576
3.710420217,3.857103266,4.021493263,4.099117396,4.538179481,4.50981324,11,59.36,0.48,66.9068
3.712213902,3.868896539,4.022937253,4.104435494,4.534087413,4.517986843,11,58.38,0.42,61.433
3.729001917,3.858472988,4.032415272,4.108222062,4.544769813,4.519114432,11,60.97,0.46,64.2531
3.732539309,3.852374071,3.991329453,4.067907923,4.494014233,4.468729443,11,58.99,0.55,73.1196
3.733605588,3.886342948,4.052122456,4.126613591,4.544919319,4.515495699,11,57.4,0.53,72.1186
3.747337297,3.868323967,4.018633667,4.095743793,4.53007237,4.501197927,11,59.68,0.52,70.3462
3.748367898,3.888171291,4.023445741,4.098921593,4.515540112,4.487608627,11,57.44,0.52,71.2689
3.749087848,3.843163222,4.01142299,4.083031813,4.532949503,4.496613607,11,59.84,0.57,74.385
3.764037159,3.850984947,4.02812129,4.098170216,4.521889753,4.488800597,11,57.93,0.45,64.7041
3.764334909,3.879696397,4.034071462,4.119761021,4.544483188,4.528960415,11,56.36,0.47,67.3364
3.775694801,3.879075794,4.038020748,4.112450708,4.55744009,4.530812295,11,59.87,0.52,70.2681
3.666108205,3.777686772,3.968197831,4.046420547,4.527513197,4.496461085,12,57.93,0.5,69.342
3.718103097,3.781979432,3.964866552,4.035680109,4.528807571,4.498321513,12,59.22,0.42,61.0026
3.718103097,3.781979432,3.964866552,4.035680109,4.528807571,4.498321513,12,61.38,0.5,67.8642
3.71821347,3.843837285,4.017776415,4.090184318,4.522086708,4.490298846,12,58.45,0.51,69.9944
3.720304852,3.844173909,4.038798153,4.114250499,4.560742928,4.516920922,12,55.92,0.45,65.6635
3.720304852,3.844173909,4.038798153,4.114250499,4.560742928,4.516920922,12,61.07,0.5,67.9969
3.721072857,3.865641944,4.03116896,4.106525378,4.547526797,4.521792874,12,61.14,0.48,66.1117
3.721072857,3.865641944,4.03116896,4.106525378,4.547526797,4.521792874,12,60.93,0.55,72.3666
3.725977716,3.827014025,4.002893328,4.074587365,4.541556185,4.506927331,12,59.36,0.44,63.0156
3.725977716,3.827014025,4.002893328,4.074587365,4.541556185,4.506927331,12,60.31,0.55,72.607
3.727708409,3.799559049,3.990050768,4.063255494,4.545404737,4.502620676,12,59.22,0.5,68.789
3.729862121,3.825892363,4.01402744,4.086303684,4.538065627,4.503071617,12,57.59,0.48,67.6978
3.729862121,3.825892363,4.01402744,4.086303684,4.538065627,4.503071617,12,57.66,0.47,66.7424
3.739108428,3.826663829,4.022045935,4.094228602,4.544096544,4.514147135,12,62.95,0.47,64.3269
3.743190259,3.800378694,3.981273106,4.051110109,4.515886464,4.472578656,12,61.26,0.5,67.9156
3.743190259,3.800378694,3.981273106,4.051110109,4.515886464,4.472578656,12,58.09,0.52,71.0009
3.75215998,3.851117442,4.002626859,4.068573519,4.529659747,4.494047573,12,59.68,0.49,67.6875
3.75215998,3.851117442,4.002626859,4.068573519,4.529659747,4.494047573,12,60,0.42,60.6026
3.757434064,3.806733953,3.995369034,4.066151512,4.537508605,4.497916284,12,57.85,0.48,67.5816
3.757434064,3.806733953,3.995369034,4.066151512,4.537508605,4.497916284,12,59.64,0.48,66.7817
3.764533308,3.828412058,4.003647515,4.072857814,4.548417204,4.514602534,12,58.21,0.5,69.2219
3.764533308,3.828412058,4.003647515,4.072857814,4.548417204,4.514602534,12,56.41,0.53,72.5196
3.76887531,3.824767796,4.00026567,4.0682934,4.541731899,4.488006323,12,57.62,0.44,63.8654
3.770541326,3.802976352,3.990964517,4.056326069,4.524260232,4.477298442,12,60,0.52,70.2146
3.772395849,3.845316526,4.031002544,4.102723957,4.560334456,4.515106189,12,57.85,0.49,68.4882
3.779735645,3.821943572,3.991283847,4.063255494,4.524638834,4.492938318,12,58.42,0.5,69.1319
3.779735645,3.821943572,3.991283847,4.063255494,4.524638834,4.492938318,12,57.59,0.46,65.8309
3.779831417,3.878765145,4.040389496,4.114250499,4.550696706,4.521776853,12,58.23,0.47,66.4821
3.779831417,3.878765145,4.040389496,4.114250499,4.550696706,4.521776853,12,59.64,0.5,68.6091
3.791544273,3.883954503,4.035185832,4.103532135,4.540739659,4.504022117,12,57.32,0.42,61.9756
3.791544273,3.883954503,4.035185832,4.103532135,4.540739659,4.504022117,12,57.69,0.5,69.4449
3.689242157,3.821305579,3.990964517,4.077443352,4.527901904,4.512680098,14,60,0.45,63.7159
3.690184741,3.805337885,3.983785907,4.064599935,4.528044355,4.503655503,14,59.47,0.42,60.8745
3.690890339,3.860487065,4.039614937,4.122119137,4.544956663,4.520367503,14,57.9,0.44,63.7287
3.694284638,3.80445381,4.007442791,4.08724356,4.558032599,4.528078804,14,60.52,0.48,66.3886
3.703398863,3.834785613,4.00284892,4.089317538,4.531243494,4.505286204,14,59.26,0.48,66.9515
