R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.784402989,3.941124315,4.090821854,4.15635012,4.558551877,4.536429216,13,59.64,0.48,66.7817
3.78459243,3.842825814,4.066893287,4.136723756,4.555937089,4.53301484,13,60.31,0.55,72.607
3.784876421,3.876896684,4.087472715,4.153682312,4.576959871,4.550708068,13,57.66,0.47,66.7424
3.785349371,3.960394356,4.107190785,4.171193483,4.528833425,4.513137037,13,57.59,0.46,65.8309
3.785538401,3.908952054,4.060485472,4.129026248,4.565389255,4.541134133,13,60.93,0.55,72.3666
3.785632868,3.828202631,3.997667004,4.058373526,4.520732583,4.48469274,13,61.07,0.5,67.9969
3.786293697,3.822226839,4.014589688,4.077409037,4.550487715,4.514602534,13,60,0.42,60.6026
3.786670854,3.939614303,4.094576991,4.155262033,4.531449078,4.503705506,13,58.09,0.52,71.0009
3.786765074,3.9151687,4.1060368,4.171414524,4.556252688,4.53285899,13,60.93,0.47,65.2494
3.786953489,3.896543629,4.056775365,4.1195432,4.545330074,4.514846321,13,57.4,0.5,69.5694
3.787141821,3.871052798,4.029585166,4.095973881,4.528652464,4.500946382,13,57.69,0.5,69.4449
3.787235974,3.944716403,4.110703713,4.172297563,4.563054396,4.536753739,13,61.38,0.5,67.8642
3.78780036,3.900344935,4.069985995,4.128904411,4.548231837,4.514830067,14,60,0.5,68.4549
3.787800361,3.885303453,4.053784304,4.11491167,4.525121369,4.486430728,14,60,0.45,63.7159
3.788457868,3.874643846,4.091908413,4.165798454,4.564652012,4.54793178,14,56.97,0.51,70.6168
3.79014409,3.953019194,4.112052613,4.17780354,4.568443655,4.550558441,14,60.52,0.48,66.3886
3.790331045,3.832371895,4.040022754,4.106685738,4.545641012,4.51698562,14,57.4,0.53,72.1186
3.790424474,3.909183907,4.059823873,4.125847281,4.554794274,4.533170584,14,58.31,0.5,69.179
3.790798062,3.873387223,4.05148769,4.112830254,4.5511389,4.518583232,14,60.88,0.5,68.0782
3.790891425,3.865577881,4.05673614,4.125478978,4.56194209,4.534275048,14,59.79,0.45,63.8162
3.791171328,3.943754318,4.116553105,4.172628241,4.50873096,4.480422546,14,59.78,0.5,68.5491
3.791451085,3.896782199,4.083360315,4.146340617,4.552511752,4.524820208,14,57.9,0.42,61.6787
3.791637477,3.962141817,4.117883986,4.181327786,4.490809829,4.483489426,14,58.15,0.47,66.5186
3.791637477,3.91063011,4.092775694,4.161863058,4.547947489,4.527084828,14,56.88,0.43,63.2254
3.791637477,3.926562539,4.105020196,4.163638389,4.54835544,4.52128088,14,59.54,0.5,68.6519
3.7919169,3.895588087,4.086814405,4.154831759,4.560166158,4.541103584,14,59.17,0.44,63.1084
3.792382249,3.887197129,4.044322327,4.106621608,4.546262271,4.516338467,14,58.34,0.44,63.5138
3.792661193,3.988027006,4.11610857,4.183079242,4.560382542,4.547419601,15,61.8,0.53,70.3434
3.792661193,3.980520485,4.135773541,4.196033944,4.553392007,4.537540884,15,60.12,0.5,68.4035
3.792754157,3.911841198,4.096836075,4.159229003,4.560298411,4.53226626,15,59.41,0.48,66.8845
3.792847067,3.939506236,4.108202359,4.173838603,4.546547724,4.516743031,15,59.44,0.48,66.8711
3.792847067,3.933027734,4.100468855,4.163047437,4.564211479,4.539510098,15,59.14,0.41,59.9654
3.793218577,3.962141817,4.111638015,4.189459196,4.571300989,4.556842677,15,58.4,0.44,63.4845
3.793497019,3.90052229,4.080175965,4.152183438,4.548565412,4.533482004,15,59.77,0.5,68.5534
3.793682535,3.851580826,4.001559216,4.066960325,4.494448113,4.469758035,15,59.15,0.45,64.1218
3.793775247,3.900049139,4.066279762,4.132242581,4.551985198,4.525359728,15,60.54,0.52,69.9926
3.794145964,3.955161538,4.111810793,4.176003288,4.517215904,4.499400307,15,59.16,0.48,66.9961
3.794701448,3.960136792,4.12621952,4.194176815,4.566125203,4.55409058,15,59.38,0.48,66.8979
3.794886451,3.929669032,4.118054329,4.185278753,4.587485588,4.569159032,15,61.91,0.43,60.7081
3.794886451,3.968708674,4.114703583,4.181165758,4.557379596,4.536228197,15,58.66,0.5,69.029
3.79497894,3.90052229,4.085898447,4.153192859,4.544171419,4.525407294,15,58.43,0.47,66.3908
3.795718009,3.854153541,4.044846715,4.107166429,4.550598359,4.520463727,15,58.32,0.43,62.5059
3.796732162,3.982727404,4.149610867,4.212902626,4.577572531,4.560909138,15,61.41,0.5,67.8514
3.796916303,3.871874443,4.04845986,4.116011433,4.563173806,4.530122675,16,59.38,0.43,61.9757
